"Index","SYMBOL"
"308","PTP4A2"
"309","KHDRBS1"
"310","TMEM39B"
"311","KPNA6"
"312","TXLNA"
"313","CCDC28B"
"314","IQCC"
"315","TMEM234"
"316","EIF3I"
"317","FAM167B"
"318","LCK"
"319","HDAC1"
"320","MARCKSL1"
"321","FAM229A"
"322","BSDC1"
"323","ZBTB8A"
"324","ZBTB8OS"
"325","RBBP4"
"326","SYNC"
"327","KIAA1522"
"328","YARS"
"329","S100PBP"
"330","RNF19B"
"331","AK2"
"332","ADC"
"333","TRIM62"
"334","ZNF362"
"335","PHC2"
"336","ZSCAN20"
"337","SMIM12"
"338","DLGAP3"
"339","RP11-244H3.4"
"340","ZMYM6"
"341","ZMYM1"
"342","SFPQ"
"343","ZMYM4"
"344","KIAA0319L"
"345","NCDN"
"346","RP4-728D4.2"
"347","PSMB2"
"348","C1orf216"
"349","CLSPN"
"350","AGO4"
"351","AGO1"
"352","AGO3"
"353","ADPRHL2"
"354","TRAPPC3"
"355","MAP7D1"
"356","THRAP3"
"357","SH3D21"
"358","EVA1B"
"359","STK40"
"360","LSM10"
"361","OSCP1"
"362","MRPS15"
"363","CSF3R"
"364","LINC01137"
"365","ZC3H12A"
"366","MEAF6"
"367","SNIP1"
"368","GNL2"
"369","C1orf109"
"370","CDCA8"
"371","YRDC"
"372","C1orf122"
"373","MTF1"
"374","INPP5B"
"375","SF3A3"
"376","FHL3"
"377","UTP11L"
"378","POU3F1"
"379","RRAGC"
"380","RP5-864K19.4"
"381","MYCBP"
"382","AKIRIN1"
"383","NDUFS5"
"384","MACF1"
"385","KIAA0754"
"386","RP11-69E11.4"
"387","PABPC4"
"388","HPCAL4"
"389","PPIE"
"390","TRIT1"
"391","MYCL"
"392","MFSD2A"
"393","CAP1"
"394","PPT1"
"395","RLF"
"396","RP1-39G22.7"
"397","ZMPSTE24"
"398","COL9A2"
"399","SMAP2"
"400","ZFP69B"
"401","ZFP69"
"402","RP11-656D10.3"
"403","EXO5"
"404","ZNF684"
"405","RIMS3"
"406","NFYC-AS1"
"407","NFYC"
"408","CITED4"
"409","CTPS1"
"410","SCMH1"
"411","HIVEP3"
"412","FOXJ3"
"413","RIMKLA"
"414","PPCS"
"415","CCDC30"
"416","PPIH"
